sujet,date,statut
La Paix en art : colombe de Picasso et symboles pacifistes,2025-10-15T15:01:34.519923,succès
La Justice en peinture : allégories de David à Basquiat en art engagé,2025-10-17T10:43:39.461887,succès
La Liberté dans l'art : de Delacroix aux luttes contemporaines,2025-10-21T10:45:00.352048,succès
La Folie en peinture : de Goya à Artaud,2025-10-24T10:46:17.892453,succès
La Colère dans l'art : expressionnisme et violence picturale moderne,2025-10-28T07:35:16.984449,succès
La Peur en peinture : du Cri de Munch aux angoisses modernes,2025-11-04T07:35:13.206327,succès
L'Espoir en art : renaissance et symbolisme optimiste en peinture,2025-11-11T07:36:31.695682,succès
Comment Star Wars a-t-il popularisé le Space Art vintage des années 70 ?,2025-11-18T07:15:47.835314,succès
Blade Runner : l'influence de Edward Hopper sur le cinéma de science-fiction,2025-11-25T07:16:30.274531,succès
Mad Men et la renaissance du Mid-Century Art dans la culture pop,2025-12-02T07:18:26.469238,succès
The Grand Budapest Hotel : Wes Anderson collectionneur et esthète du cinéma,2025-12-09T07:18:43.373888,succès
Midnight in Paris de Woody Allen : nostalgie des années folles parisiennes,2025-12-16T07:20:06.296144,succès
La Jeune Fille à la Perle au cinéma : impact sur les ventes d'art,2025-12-23T07:20:41.011999,succès
Breaking Bad et les couleurs expressionnistes : palette de Vince Gilligan,2025-12-30T07:19:31.158665,succès
Black Mirror : dystopie et esthétique digitale dans la série Netflix,2026-01-06T07:22:14.812934,succès
Stranger Things : résurrection de l'art et design des années 80,2026-01-13T07:21:57.566495,succès
Le Fabuleux Destin d'Amélie Poulain : palettes colorées de Jean-Pierre Jeunet,2026-01-20T07:23:55.546918,succès
Matrix : influence du manga et comics sur le cinéma des Wachowski,2026-01-27T07:24:42.196525,succès
Moulin Rouge de Baz Luhrmann : Toulouse-Lautrec ressuscité au cinéma,2026-02-01T07:35:35.958935,succès
Big Eyes : Tim Burton et les peintures kitsch des Keane,2026-02-02T07:47:14.981199,succès
Loving Vincent : Van Gogh animé image par image en peinture à l'huile,2026-02-03T07:40:51.699733,succès
Frida de Julie Taymor : Salma Hayek popularise Kahlo mondialement,2026-02-04T07:41:56.129189,succès
